gene,organ_system,evidence_sources,safetyome_scaled_score,tau_score_percentile,conservation_score_percentile,safetyome_scaled_score_percentile,median_tau_conservation_score,median_all_scores
RRAS2,"Congenital, familial and genetic disorders","Clinvar(1), DisGenet(1), GWAS(2), HPO(25), OpenTargets(2)",2.07,0.1690773802215073,0.9986677635617985,0.9683588148497086,0.583872571891653,0.9683588148497086
PKD1L1,"Congenital, familial and genetic disorders","Clinvar(1), DisGenet(9), Diseases(1), HPO(14), OpenTargets(6)",2.07,0.9871994793841016,0.03209646128533189,0.9683588148497086,0.5096479703347168,0.9683588148497086
MC4R,Metabolism and nutrition disorders,"DisGenet(3), Diseases(1), GWAS(13), HPO(6), OpenTargets(11), PheGenI(4), TTD(1)",2.67,0.9683087350507109,0.8456324746445323,0.983176657222226,0.9069706048476216,0.9683087350507109
DOCK7,"Congenital, familial and genetic disorders","DisGenet(2), GWAS(36), HPO(7), OpenTargets(1)",2.52,0.5300582009282679,0.9682227843127624,0.9801909208675954,0.7491404926205152,0.9682227843127624
CHRNA2,Nervous system disorders,"Clinvar(2), DisGenet(4), Diseases(2), DrugBank(11), GWAS(2), HPO(19), OpenTargets(3), TTD(1)",2.99,0.9678360059919943,0.5262211144127109,0.9875894508600445,0.7470285602023525,0.9678360059919943
KLHL7,Eye disorders,"Clinvar(2), DisGenet(4), Diseases(1), HPO(22), OpenTargets(3)",2.11,0.5189521377176396,0.9677868912845952,0.9698170457143253,0.7433695145011174,0.9677868912845952
CA8,Nervous system disorders,"Clinvar(1), DisGenet(5), DrugBank(1), GWAS(1), HPO(17), OpenTargets(3)",2.04,0.7463532329756145,0.9820178777534933,0.9676452862081149,0.8641855553645539,0.9676452862081149
SLC32A1,Nervous system disorders,"Clinvar(2), HPO(53), OpenTargets(4)",2.69,0.9257569804277891,0.9675167603939,0.9833255976668306,0.9466368704108445,0.9675167603939
ZIC3,"Congenital, familial and genetic disorders","Clinvar(2), DisGenet(4), Diseases(2), HPO(50), OpenTargets(7)",3.35,0.9672527688416296,0.4198079614940694,0.991181340186903,0.6935303651678495,0.9672527688416296
ACTL6B,Nervous system disorders,"Clinvar(2), DisGenet(19), Diseases(1), GWAS(1), HPO(49), OpenTargets(8)",3.94,0.9155104245966454,0.9671545394268314,0.995410556067418,0.9413324820117384,0.9671545394268314
RTL1,"Congenital, familial and genetic disorders","GWAS(1), HPO(50), OpenTargets(2)",2.51,0.9669396625819602,0.03048181527958547,0.979820301621719,0.4987107389307728,0.9669396625819602
TAB2,Cardiac disorders,"Clinvar(1), DisGenet(3), GWAS(4), HPO(16), OpenTargets(6)",2.02,0.9871994793841016,0.860901009307237,0.9668451642847742,0.9240502443456693,0.9668451642847742
